"Scenario","Sector","Subsector","Technology","Enduse","Unit","Parameters","Fuel","Period","FuelGroup","Technology_Group","Value"
"Kea","Industry","Mining","Stationary Motor with VSD","Motive Power, Stationary","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2025","Electricity","Stationary Motive Power","0.000000"
"Kea","Industry","Mining","Stationary Motor with VSD","Motive Power, Stationary","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2030","Electricity","Stationary Motive Power","0.000000"
"Kea","Industry","Mining","Stationary Motor with VSD","Motive Power, Stationary","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2035","Electricity","Stationary Motive Power","0.000000"
"Kea","Industry","Mining","Stationary Motor with VSD","Motive Power, Stationary","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2040","Electricity","Stationary Motive Power","0.000000"
"Kea","Industry","Mining","Stationary Motor with VSD","Motive Power, Stationary","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2045","Electricity","Stationary Motive Power","0.000000"
"Kea","Industry","Mining","Stationary Motor with VSD","Motive Power, Stationary","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2050","Electricity","Stationary Motive Power","0.000000"
"Kea","Industry","Mining","Stationary Motor with VSD","Motive Power, Stationary","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2055","Electricity","Stationary Motive Power","0.000000"
"Kea","Industry","Mining","Stationary Motor with VSD","Motive Power, Stationary","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2060","Electricity","Stationary Motive Power","0.000000"
"Kea","Industry","Mining","Stationary Motor with VSD","Motive Power, Stationary","PJ","End Use Demand","Electricity","2018","Electricity","Stationary Motive Power","0.000000"
"Kea","Industry","Mining","Stationary Motor with VSD","Motive Power, Stationary","PJ","End Use Demand","Electricity","2025","Electricity","Stationary Motive Power","0.573750"
"Kea","Industry","Mining","Stationary Motor with VSD","Motive Power, Stationary","PJ","End Use Demand","Electricity","2030","Electricity","Stationary Motive Power","0.591150"
