ProcessGroup,Process,PlantName,TechnologyGroup,Technology,SectorGroup,Sector,EnduseGroup,EndUse
Electricity generation,ELC_SolarFixed_LodestoneWhitianga,Lodestone Whitianga,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_MangamaireSolarFarm,Mangamaire solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_MarangaRaSolarFarm,Maranga Rā solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarTrack_NasebySolarFarm,Naseby solar farm,Solar,Utility Solar (Tracking),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarTrack_OngaongaSolarFarmSkySolar,Ongaonga solar farm (Sky Solar),Solar,Utility Solar (Tracking),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_PalmerstonNorthSolarFarm,Palmerston North solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_PukenuiSolarFarm,Pukenui solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_RangiririSolarFarm,Rangiriri solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_RangitaikiSolarStage1,Rangitāiki solar (Stage 1),Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_RangitaikiSolarStage2,Rangitāiki solar (Stage 2),Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_RangitaikiSolarStage3,Rangitāiki solar (Stage 3),Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_RuakakaSolarFarm,Ruakākā solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_SwannanoaSolarFarm,Swannanoa solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_TauheiSolarFarm,Tauhei solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_TwinRiversSolarFarm,Twin Rivers solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_WarengaSolarFarm,Warenga solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_WaiotaheSolarFarm,Waiotahe solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_WaiterimuSolarFarm,Waiterimu solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_WellsfordSolarFarm,Wellsford solar farm,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar15,Generic solar (200MW+): 15,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar2,Generic solar (200MW+): 2,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar29,Generic solar (200MW+): 29,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar33,Generic solar (200MW+): 33,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar35,Generic solar (101-200MW): 35,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar40,Generic solar (<100 MW): 40,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar42,Generic solar (101-200MW): 42,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar43,Generic solar (200MW+): 43,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_SolarFixed_GenericSolar46,Generic solar (<100 MW): 46,Solar,Utility Solar (Fixed),Electricity generation,Electricity generation,Electricity generation,Electricity generation
