Process,CommodityIn,CommodityOut,Sector,EnduseGroup,EndUse,TechnologyGroup,Technology
C_WSR-MPM-MPM-PET,COMPET,C_WSR-MPM,WSR,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
C_WSR-MPM-MPM-ELC,COMELC,C_WSR-MPM,WSR,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
C_WSR-MPM-MPM-H2R,COMH2R,C_WSR-MPM,WSR,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
C_WSR-MPS-MPS-DSL,COMDSL,C_WSR-MPS,WSR,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
C_WSR-MPS-MPS-PET,COMPET,C_WSR-MPS,WSR,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
C_WSR-MPS-MPS-LPG,COMLPG,C_WSR-MPS,WSR,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
C_WSR-MPS-MPS-H2R,COMH2R,C_WSR-MPS,WSR,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
C_WSR-SC-GHP-ELC,COMELC,C_WSR-SC,WSR,Heating/Cooling,Space Cooling,Heat/Cooling Devices,Heat Pump Ground Source (for Cooling)
C_OTH-SH-Boiler-LPG,COMLPG,C_OTH-SH,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
C_OTH-SH-Boiler-WOD,COMWOD,C_OTH-SH,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
C_OTH-SH-Boiler-PLT,COMPLT,C_OTH-SH,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
C_OTH-SH-Boiler-ELC,COMELC,C_OTH-SH,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
C_OTH-SH-Boiler-BIG,COMBIG,C_OTH-SH,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
C_OTH-SH-Boiler-H2R,COMH2R,C_OTH-SH,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
C_OTH-WH-Boiler-LPG,COMLPG,C_OTH-WH,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
C_OTH-WH-Boiler-NGA,COMNGA,C_OTH-WH,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
C_OTH-WH-Boiler-WOD,COMWOD,C_OTH-WH,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
C_OTH-WH-Boiler-PLT,COMPLT,C_OTH-WH,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
C_OTH-WH-Boiler-ELC,COMELC,C_OTH-WH,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
C_OTH-WH-Boiler-BIG,COMBIG,C_OTH-WH,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
C_OTH-WH-Boiler-H2R,COMH2R,C_OTH-WH,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
C_OTH-SH-GHP-ELC,COMELC,C_OTH-SH,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Heat Pump Ground Source (for Heating)
C_OTH-WH-AirHP-ELC,COMELC,C_OTH-WH,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Heat Pump (for Heating)
C_OTH-WH-GHP-ELC,COMELC,C_OTH-WH,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Heat Pump Ground Source (for Heating)
C_OTH-WH-Cylinder-LPG,COMLPG,C_OTH-WH,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Hot Water Cylinder
C_OTH-WH-Instant-NGA,COMNGA,C_OTH-WH,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Instantaneous Water Heater
C_OTH-WH-Instant-LPG,COMLPG,C_OTH-WH,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Instantaneous Water Heater
C_OTH-WH-Instant-ELC,COMELC,C_OTH-WH,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Instantaneous Water Heater
C_OTH-MPM-MPM-LPG,COMLPG,C_OTH-MPM,Other,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
C_OTH-MPM-MPM-ELC,COMELC,C_OTH-MPM,Other,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
C_OTH-MPM-MPM-H2R,COMH2R,C_OTH-MPM,Other,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
C_OTH-MPS-MPS-DSL,COMDSL,C_OTH-MPS,Other,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
C_OTH-MPS-MPS-PET,COMPET,C_OTH-MPS,Other,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
C_OTH-MPS-MPS-LPG,COMLPG,C_OTH-MPS,Other,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
C_OTH-MPS-MPS-H2R,COMH2R,C_OTH-MPS,Other,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
C_OTH-SC-GHP-ELC,COMELC,C_OTH-SC,Other,Heating/Cooling,Space Cooling,Heat/Cooling Devices,Heat Pump Ground Source (for Cooling)
C_DATA-SC-GHP-ELC,COMELC,C_DATA-SC,Data Centre,Heating/Cooling,Space Cooling,Heat/Cooling Devices,Heat Pump Ground Source (for Cooling)
