Attribute,Commodity,Process,Period,Region,Vintage,TimeSlice,UserConstraint,Value,Scenario,Variable,ProcessGroup,Description,Fuel,CommodityGroup
VAR_FOut,LPG,IMPNRGZ,2029,NI,2029,ANNUAL,-,3.8692206651818,traditional-v3_0_0,Production,Production,Infeasible Energy,LPG,Energy
VAR_FOut,AGRDSL,IMPNRGZ,2029,NI,2029,ANNUAL,-,4.65097713073038,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,AGRPET,IMPNRGZ,2029,NI,2029,ANNUAL,-,0.732471123999986,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,COMDSL,IMPNRGZ,2029,NI,2029,ANNUAL,-,4.7739578084,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,COMPET,IMPNRGZ,2029,NI,2029,ANNUAL,-,0.230625996999999,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,FOL,IMPNRGZ,2029,NI,2029,ANNUAL,-,3.43114330820737,traditional-v3_0_0,Production,Production,Infeasible Energy,Fuel oil,Energy
VAR_FOut,INDDSL,IMPNRGZ,2029,NI,2029,ANNUAL,-,7.71309529874999,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,INDFOL,IMPNRGZ,2029,NI,2029,ANNUAL,-,0.283808735999997,traditional-v3_0_0,Production,Production,Infeasible Energy,Fuel oil,Energy
VAR_FOut,INDPET,IMPNRGZ,2029,NI,2029,ANNUAL,-,0.117418713249992,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,RESDSL,IMPNRGZ,2029,NI,2029,ANNUAL,-,1.18366219774894,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,RESPET,IMPNRGZ,2029,NI,2029,ANNUAL,-,6.45338455719564,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,TRAJET,IMPNRGZ,2029,NI,2029,ANNUAL,-,42.0847590347672,traditional-v3_0_0,Production,Production,Infeasible Energy,Jet fuel,Energy
VAR_FOut,LPG,IMPNRGZ,2030,NI,2030,ANNUAL,-,1.17049563,traditional-v3_0_0,Production,Production,Infeasible Energy,LPG,Energy
VAR_FOut,AGRDSL,IMPNRGZ,2030,NI,2030,ANNUAL,-,4.20963881251878,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,AGRLPG,IMPNRGZ,2030,NI,2030,ANNUAL,-,0.0245064166666662,traditional-v3_0_0,Production,Production,Infeasible Energy,LPG,Energy
VAR_FOut,AGRPET,IMPNRGZ,2030,NI,2030,ANNUAL,-,0.680151757999987,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,COMDSL,IMPNRGZ,2030,NI,2030,ANNUAL,-,4.4664909298,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,COMLPG,IMPNRGZ,2030,NI,2030,ANNUAL,-,0.842025056766664,traditional-v3_0_0,Production,Production,Infeasible Energy,LPG,Energy
VAR_FOut,COMPET,IMPNRGZ,2030,NI,2030,ANNUAL,-,0.214152711499999,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,INDDSL,IMPNRGZ,2030,NI,2030,ANNUAL,-,6.94413815687499,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,INDFOL,IMPNRGZ,2030,NI,2030,ANNUAL,-,0.212856551999998,traditional-v3_0_0,Production,Production,Infeasible Energy,Fuel oil,Energy
VAR_FOut,INDPET,IMPNRGZ,2030,NI,2030,ANNUAL,-,0.105725992124993,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,RESDSL,IMPNRGZ,2030,NI,2030,ANNUAL,-,1.05214417577683,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,RESLPG,IMPNRGZ,2030,NI,2030,ANNUAL,-,1.24981273363121,traditional-v3_0_0,Production,Production,Infeasible Energy,LPG,Energy
VAR_FOut,RESPET,IMPNRGZ,2030,NI,2030,ANNUAL,-,5.73634182861834,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,TRAFOL,IMPNRGZ,2030,NI,2030,ANNUAL,-,3.43114330820737,traditional-v3_0_0,Production,Production,Infeasible Energy,Fuel oil,Energy
VAR_FOut,TRAJET,IMPNRGZ,2030,NI,2030,ANNUAL,-,42.0847590347672,traditional-v3_0_0,Production,Production,Infeasible Energy,Jet fuel,Energy
VAR_FOut,LPG,IMPNRGZ,2033,NI,2033,ANNUAL,-,1.53969735271278,traditional-v3_0_0,Production,Production,Infeasible Energy,LPG,Energy
VAR_FOut,AGRDSL,IMPNRGZ,2033,NI,2033,ANNUAL,-,2.88562385788398,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,AGRPET,IMPNRGZ,2033,NI,2033,ANNUAL,-,0.52319365999999,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,COMDSL,IMPNRGZ,2033,NI,2033,ANNUAL,-,3.544090294,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,COMPET,IMPNRGZ,2033,NI,2033,ANNUAL,-,0.164732854999999,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,FOL,IMPNRGZ,2033,NI,2033,ANNUAL,-,3.43114330820737,traditional-v3_0_0,Production,Production,Infeasible Energy,Fuel oil,Energy
VAR_FOut,INDDSL,IMPNRGZ,2033,NI,2033,ANNUAL,-,4.63726673125,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,INDPET,IMPNRGZ,2033,NI,2033,ANNUAL,-,0.0706478287499952,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,JET,IMPNRGZ,2033,NI,2033,ANNUAL,-,42.0847590347672,traditional-v3_0_0,Production,Production,Infeasible Energy,Jet fuel,Energy
VAR_FOut,RESDSL,IMPNRGZ,2033,NI,2033,ANNUAL,-,0.657590109860521,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
