Installed distributed generation trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20250317193604

Parameters
Date range,01 Sep 2013 - 28 Feb 2025
Region type,Regional council
Market segment,Industrial
Capacity,All combined
Fuel type,Solar (all)

Month end,Region ID,Region name,Capacity,Fuel type,ICP count,ICP uptake rate (%),Total capacity installed (MW),Avg. capacity installed (kW),ICP count - new installations,Avg. capacity - new installations (kW)
31/08/2014,18,Marlborough,All combined,Solar (All),8,0.66890,0.077,9.625,0,
31/08/2014,13,Canterbury,All combined,Solar (All),33,0.16704,0.212,6.436,1,15.000
31/08/2014,14,Otago,All combined,Solar (All),10,0.15375,0.103,10.280,2,4.400
31/08/2014,15,Southland,All combined,Solar (All),4,0.06450,0.057,14.218,0,
30/09/2014,1,Northland,All combined,Solar (All),10,0.17100,0.057,5.700,0,
30/09/2014,2,Auckland,All combined,Solar (All),17,0.12199,0.118,6.915,0,
30/09/2014,3,Waikato,All combined,Solar (All),15,0.09494,0.182,12.111,1,2.760
30/09/2014,4,Bay of Plenty,All combined,Solar (All),6,0.12771,0.088,14.667,0,
30/09/2014,6,Hawke's Bay,All combined,Solar (All),11,0.20183,0.109,9.886,1,10.000
30/09/2014,7,Taranaki,All combined,Solar (All),2,0.04667,0.009,4.500,0,
30/09/2014,8,Manawatu-Wanganui,All combined,Solar (All),2,0.02430,0.021,10.500,0,
30/09/2014,9,Wellington,All combined,Solar (All),8,0.14717,0.083,10.388,0,
30/09/2014,16,Tasman,All combined,Solar (All),2,0.09995,0.008,4.200,1,6.000
30/09/2014,17,Nelson,All combined,Solar (All),4,0.42061,0.028,7.025,0,
30/09/2014,18,Marlborough,All combined,Solar (All),8,0.66722,0.077,9.625,0,
30/09/2014,13,Canterbury,All combined,Solar (All),42,0.21240,0.239,5.700,9,3.000
30/09/2014,14,Otago,All combined,Solar (All),11,0.16838,0.107,9.764,1,4.600
30/09/2014,15,Southland,All combined,Solar (All),4,0.06453,0.057,14.218,0,
31/10/2014,1,Northland,All combined,Solar (All),11,0.18820,0.297,27.000,1,240.000
31/10/2014,2,Auckland,All combined,Solar (All),19,0.13585,0.125,6.582,2,2.250
31/10/2014,3,Waikato,All combined,Solar (All),15,0.09416,0.182,12.111,0,
31/10/2014,4,Bay of Plenty,All combined,Solar (All),7,0.14167,0.091,13.000,1,3.000
31/10/2014,6,Hawke's Bay,All combined,Solar (All),12,0.22079,0.119,9.888,0,
31/10/2014,7,Taranaki,All combined,Solar (All),2,0.04645,0.009,4.500,0,
31/10/2014,8,Manawatu-Wanganui,All combined,Solar (All),2,0.02421,0.021,10.500,0,
31/10/2014,9,Wellington,All combined,Solar (All),7,0.12774,0.078,11.157,0,
31/10/2014,16,Tasman,All combined,Solar (All),3,0.15075,0.011,3.800,1,3.000
31/10/2014,17,Nelson,All combined,Solar (All),4,0.42328,0.028,7.025,0,
31/10/2014,18,Marlborough,All combined,Solar (All),8,0.62992,0.077,9.625,0,
31/10/2014,13,Canterbury,All combined,Solar (All),39,0.19649,0.233,5.985,1,5.000
31/10/2014,14,Otago,All combined,Solar (All),13,0.19820,0.115,8.877,2,4.000
31/10/2014,15,Southland,All combined,Solar (All),4,0.06442,0.057,14.218,0,
30/11/2014,1,Northland,All combined,Solar (All),11,0.18807,0.297,27.000,0,
30/11/2014,2,Auckland,All combined,Solar (All),20,0.14280,0.127,6.353,1,2.000
30/11/2014,3,Waikato,All combined,Solar (All),17,0.10593,0.234,13.759,2,26.000
30/11/2014,4,Bay of Plenty,All combined,Solar (All),7,0.13809,0.091,13.000,0,
30/11/2014,6,Hawke's Bay,All combined,Solar (All),12,0.21994,0.119,9.888,0,
30/11/2014,7,Taranaki,All combined,Solar (All),5,0.11590,0.088,17.500,3,26.167
30/11/2014,8,Manawatu-Wanganui,All combined,Solar (All),3,0.03637,0.058,19.333,1,37.000
30/11/2014,9,Wellington,All combined,Solar (All),8,0.14617,0.081,10.138,1,3.000
30/11/2014,16,Tasman,All combined,Solar (All),3,0.15152,0.011,3.800,0,
30/11/2014,17,Nelson,All combined,Solar (All),4,0.41710,0.028,7.025,0,
30/11/2014,18,Marlborough,All combined,Solar (All),8,0.61872,0.077,9.625,0,
30/11/2014,13,Canterbury,All combined,Solar (All),37,0.18531,0.235,6.349,1,9.520
30/11/2014,14,Otago,All combined,Solar (All),14,0.21107,0.121,8.614,2,4.500
30/11/2014,15,Southland,All combined,Solar (All),4,0.06432,0.057,14.218,0,
31/12/2014,1,Northland,All combined,Solar (All),11,0.18663,0.295,26.818,1,3.000
31/12/2014,2,Auckland,All combined,Solar (All),21,0.14904,0.132,6.288,1,5.000
31/12/2014,3,Waikato,All combined,Solar (All),19,0.11596,0.250,13.153,0,
31/12/2014,4,Bay of Plenty,All combined,Solar (All),7,0.12438,0.091,13.000,0,
31/12/2014,6,Hawke's Bay,All combined,Solar (All),11,0.19993,0.109,9.877,0,
31/12/2014,7,Taranaki,All combined,Solar (All),5,0.11489,0.088,17.500,0,
31/12/2014,8,Manawatu-Wanganui,All combined,Solar (All),3,0.03608,0.058,19.333,0,
31/12/2014,9,Wellington,All combined,Solar (All),8,0.14588,0.081,10.138,0,
31/12/2014,16,Tasman,All combined,Solar (All),4,0.19900,0.016,3.975,1,4.500
31/12/2014,17,Nelson,All combined,Solar (All),4,0.40040,0.028,7.025,0,
31/12/2014,18,Marlborough,All combined,Solar (All),9,0.59250,0.082,9.089,0,
31/12/2014,13,Canterbury,All combined,Solar (All),37,0.18258,0.235,6.349,0,
31/12/2014,14,Otago,All combined,Solar (All),15,0.21542,0.121,8.040,2,2.750
31/12/2014,15,Southland,All combined,Solar (All),4,0.06303,0.057,14.218,0,
31/01/2015,1,Northland,All combined,Solar (All),13,0.21505,0.302,23.231,2,3.500
31/01/2015,2,Auckland,All combined,Solar (All),20,0.13955,0.129,6.453,0,
31/01/2015,3,Waikato,All combined,Solar (All),19,0.11237,0.250,13.153,0,
31/01/2015,4,Bay of Plenty,All combined,Solar (All),7,0.11759,0.091,13.000,0,
31/01/2015,5,Gisborne,All combined,Solar (All),1,0.08097,0.005,5.000,1,5.000
31/01/2015,6,Hawke's Bay,All combined,Solar (All),13,0.23272,0.124,9.512,2,7.500
31/01/2015,7,Taranaki,All combined,Solar (All),5,0.11111,0.088,17.500,0,
31/01/2015,8,Manawatu-Wanganui,All combined,Solar (All),3,0.03533,0.058,19.333,0,
31/01/2015,9,Wellington,All combined,Solar (All),8,0.14220,0.081,10.138,0,
31/01/2015,16,Tasman,All combined,Solar (All),4,0.19579,0.016,3.975,0,
31/01/2015,17,Nelson,All combined,Solar (All),4,0.38873,0.028,7.025,0,
31/01/2015,18,Marlborough,All combined,Solar (All),10,0.62305,0.083,8.280,0,
31/01/2015,13,Canterbury,All combined,Solar (All),37,0.17933,0.233,6.284,2,3.300
31/01/2015,14,Otago,All combined,Solar (All),16,0.22225,0.126,7.850,1,5.000
31/01/2015,15,Southland,All combined,Solar (All),4,0.06149,0.057,14.218,0,
28/02/2015,1,Northland,All combined,Solar (All),13,0.21287,0.302,23.231,0,
