Installed distributed generation trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20250317193533

Parameters
Date range,01 Sep 2013 - 28 Feb 2025
Region type,Regional council
Market segment,Commercial
Capacity,All combined
Fuel type,Solar (all)

Month end,Region ID,Region name,Capacity,Fuel type,ICP count,ICP uptake rate (%),Total capacity installed (MW),Avg. capacity installed (kW),ICP count - new installations,Avg. capacity - new installations (kW)
30/09/2014,4,Bay of Plenty,All combined,Solar (All),12,0.09224,0.145,12.083,0,
30/09/2014,5,Gisborne,All combined,Solar (All),1,0.06423,0.005,5.000,0,
30/09/2014,6,Hawke's Bay,All combined,Solar (All),7,0.10836,0.049,6.986,0,
30/09/2014,8,Manawatu-Wanganui,All combined,Solar (All),4,0.03630,0.119,29.625,0,
30/09/2014,9,Wellington,All combined,Solar (All),19,0.10017,0.085,4.447,3,2.667
30/09/2014,16,Tasman,All combined,Solar (All),5,0.29727,0.071,14.200,0,
30/09/2014,17,Nelson,All combined,Solar (All),10,0.40568,0.093,9.290,0,
30/09/2014,18,Marlborough,All combined,Solar (All),4,0.16694,0.018,4.450,0,
30/09/2014,12,West Coast,All combined,Solar (All),1,0.04552,0.003,3.000,0,
30/09/2014,13,Canterbury,All combined,Solar (All),27,0.11500,0.149,5.512,2,4.500
30/09/2014,14,Otago,All combined,Solar (All),9,0.07564,0.065,7.188,0,
30/09/2014,15,Southland,All combined,Solar (All),4,0.08379,0.017,4.250,0,
31/10/2014,1,Northland,All combined,Solar (All),10,0.11181,0.059,5.940,0,
31/10/2014,2,Auckland,All combined,Solar (All),28,0.04930,0.272,9.716,4,27.875
31/10/2014,3,Waikato,All combined,Solar (All),18,0.08847,0.113,6.256,2,3.000
31/10/2014,4,Bay of Plenty,All combined,Solar (All),12,0.09535,0.145,12.083,0,
31/10/2014,5,Gisborne,All combined,Solar (All),1,0.06427,0.005,5.000,0,
31/10/2014,6,Hawke's Bay,All combined,Solar (All),6,0.09314,0.039,6.500,0,
31/10/2014,7,Taranaki,All combined,Solar (All),1,0.01710,0.003,3.000,1,3.000
