STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,CEN23_YEAR_001,Census year,CEN23_GEO_012,Area,CEN23_HED_003,Main types of heating used,CEN23_DTD_004,Private dwelling type,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,02,Auckland Region,8,Other types of heating,11,,8652,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,02,Auckland Region,8,Other types of heating,12,,918,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,02,Auckland Region,8,Other types of heating,13,,36,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,02,Auckland Region,8,Other types of heating,999,,9606,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,03,Waikato Region,0,No heating used,10,,0,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,03,Waikato Region,0,No heating used,11,,2928,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,03,Waikato Region,0,No heating used,12,,870,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,03,Waikato Region,0,No heating used,13,,171,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,03,Waikato Region,0,No heating used,999,,3966,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,03,Waikato Region,1,Heat pump,10,,0,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,03,Waikato Region,1,Heat pump,11,,65394,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,03,Waikato Region,1,Heat pump,12,,7278,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,03,Waikato Region,1,Heat pump,13,,114,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,03,Waikato Region,1,Heat pump,999,,72786,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,03,Waikato Region,2,Electric heater,10,,0,,,
DATAFLOW,STATSNZ:CEN23_HOU_012(1.0),"Main types of heating used and private dwelling type for occupied private dwellings, (RC, TALB, SA2, Health), 2018 and 2023 Censuses",I,2018,2018,03,Waikato Region,2,Electric heater,11,,49104,,,
